gap_0	gap_0.05	gap_0.1	gap_0.2	gap_0.3	gap_0.4	gap_0.5	gap_0.6	gap_0.7	gap_0.8
GSM2152181	C2	C2	C2	C2	C2	C2	C2	C2	C2	NA
GSM2152182	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152183	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152184	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152185	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152186	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152187	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152188	C13	C13	C13	C13	C13	C13	C13	C13	C13	NA
GSM2152189	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152190	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152191	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152192	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152193	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152194	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152195	C13	C13	C13	C13	C13	NA	NA	NA	NA	NA
GSM2152196	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152197	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152198	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152199	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152200	C2	C2	C2	C2	C2	C2	C2	C2	NA	NA
GSM2152201	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152202	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152203	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152204	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152205	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152206	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152207	C2	C2	C2	C2	C2	C2	C2	C2	C2	NA
GSM2152208	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152209	C2	C2	C2	C2	C2	C2	C2	NA	NA	NA
GSM2152210	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152211	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152212	C2	C2	C2	C2	C2	C2	C2	NA	NA	NA
GSM2152213	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152214	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152215	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152216	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152217	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152218	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152219	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152220	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152221	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152222	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152223	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152224	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152225	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152226	C2	C2	C2	C2	C2	C2	C2	C2	C2	NA
GSM2152227	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152228	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152229	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152230	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152231	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152232	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152233	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152234	C2	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSM2152235	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152236	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152237	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
GSM2152238	C2	C2	C2	C2	C2	C2	NA	NA	NA	NA
GSM2152239	C2	C2	NA	NA	NA	NA	NA	NA	NA	NA
GSM2152240	C2	C2	C2	C2	C2	C2	C2	C2	C2	NA
GSM2152241	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152242	C2	C2	C2	C2	C2	C2	C2	C2	C2	C2
GSM2152243	C13	C13	C13	C13	C13	C13	C13	C13	C13	C13
